ID,ANO,MES,MARCA,MODELO,TIPOVEHICULO,KM_MES,GrCo2_km,GrCo2
242,2022,5,01709 - SEAT,ALHAMBRA,40 - TURISMO,1897,150,285
247,2022,5,00388 - CITROEN,C2,03 - CAMION FURGON,619,113,70
251,2022,5,01709 - SEAT,LEON,40 - TURISMO,1577,161,254
256,2022,5,01885 - TOYOTA,TOYOTA YARIS HYBRID,40 - TURISMO,880,84,74
258,2022,5,05466 - UNVI,TGEVEGA,30 - AUTOBUS,3774,214,808
260,2022,5,01885 - TOYOTA,AURIS HSD ACTIV,40 - TURISMO,1060,89,94
266,2022,5,01291 - MITSUBISHI,GALLOPER SUPER EXCEED,0G - VEHICULO MIXTO ADAPTABLE,517,173,89
267,2022,5,01382 - NISSAN,KUBISTAR,03 - CAMION FURGON,734,147,108
271,2022,5,01709 - SEAT,ALTEA,40 - TURISMO,842,142,120
275,2022,6,00678 - FIAT,IDEA,40 - TURISMO,127,124,16
287,2022,6,02339 - JEEP,RENEGADE,40 - TURISMO,2350,134,315
288,2022,6,00678 - FIAT,FIAT DUCATO,20 - FURGONETA,878,166,146
289,2022,6,01709 - SEAT,ALHAMBR.1.9TDI 6V,40 - TURISMO,707,170,120
290,2022,6,01709 - SEAT,TOLEDO,40 - TURISMO,3376,106,358
292,2022,6,01709 - SEAT,ALTEA,40 - TURISMO,272,119,32
295,2022,6,01709 - SEAT,LEON 1.9,40 - TURISMO,372,135,50
297,2022,6,01709 - SEAT,ALHAMBRA,40 - TURISMO,5063,150,759
299,2022,6,02009 - VOLKSWAGEN,PASSAT CC,40 - TURISMO,4449,137,610
303,2022,6,01551 - RENAULT,KANGOO EXPRESS Z.E.,20 - FURGONETA,454,0,0
306,2022,6,01709 - SEAT,LEON,40 - TURISMO,1400,161,225
308,2022,6,01709 - SEAT,IBIZA,40 - TURISMO,107,109,12
310,2022,6,01709 - SEAT,TOLEDO,40 - TURISMO,1206,106,128
315,2022,6,01885 - TOYOTA,AURIS HSD ACTIV,40 - TURISMO,227,89,20
316,2022,6,01885 - TOYOTA,AURIS HSD ACTIV,40 - TURISMO,1074,89,96
318,2022,6,01382 - NISSAN,NISSAN E-NV200,20 - FURGONETA,323,0,0
319,2022,6,00678 - FIAT,SEICENTO,21 - FURGONETA MIXTA,212,143,30
321,2022,6,01291 - MITSUBISHI,GALLOPER SUPER EXCEED,0G - VEHICULO MIXTO ADAPTABLE,481,173,83
322,2022,6,01382 - NISSAN,KUBISTAR,03 - CAMION FURGON,1037,147,152
327,2022,6,01551 - RENAULT,R. MASTER,20 - FURGONETA,393,230,90
328,2022,6,03670 - IVECO,CC80E18M P,00 - CAMION,2339,220,515
338,2022,7,01551 - RENAULT,KANGOO,0G - VEHICULO MIXTO ADAPTABLE,660,140,92
341,2022,7,02339 - JEEP,RENEGADE,40 - TURISMO,802,134,107
342,2022,7,02339 - JEEP,RENEGADE,40 - TURISMO,2952,134,396
344,2022,7,00678 - FIAT,FIAT DUCATO,20 - FURGONETA,2581,166,428
351,2022,7,01709 - SEAT,LEON 1.9,40 - TURISMO,278,135,38
355,2022,7,01885 - TOYOTA,LAND CRUISER (150 SERIE),25 - TODO TERRENO,1056,246,260
